"Ar";"Fylke";"Hovednaring";"Naring";"Naringshovedgruppe";"Naringsgruppe";"AntallTilsyn";"AntallMedReaksjon";"AntallReaksjoner"
"2016";"Innlandet";"C Industri";"24 Produksjon av metaller";"24.4 Produksjon av ikke-jernholdige metaller";"24.41 Produksjon av edelmetaller";"2";"1";"3"
"2016";"Innlandet";"C Industri";"24 Produksjon av metaller";"24.5 Støping av metaller";"24.51 Støping av jern";"1";"0";"0"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.6 Overflatebehandling og bearbeiding av metaller";"25.61 Overflatebehandling av metaller";"3";"3";"10"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.6 Overflatebehandling og bearbeiding av metaller";"25.62 Bearbeiding av metaller";"12";"9";"37"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.7 Produksjon av kjøkkenredskaper, skjære- og klipperedskaper, håndverktøy og andre jernvarer";"25.73 Produksjon av håndverktøy";"1";"1";"5"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.9 Produksjon av andre metallvarer";"25.94 Produksjon av bolter og skruer";"2";"2";"5"
"2016";"Innlandet";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.3 Produksjon av jordbruks- og skogbruksmaskiner";"28.30 Produksjon av jordbruks- og skogbruksmaskiner";"1";"1";"7"
"2016";"Innlandet";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.9 Produksjon av andre spesialmaskiner";"28.92 Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet";"1";"1";"1"
"2016";"Innlandet";"C Industri";"30 Produksjon av andre transportmidler";"30.1 Bygging av skip og båter";"30.11 Bygging av skip og flytende materiell";"1";"1";"1"
"2016";"Innlandet";"C Industri";"31 Produksjon av møbler";"31.0 Produksjon av møbler";"31.09 Produksjon av møbler ellers";"4";"3";"6"
"2016";"Innlandet";"C Industri";"33 Reparasjon og installasjon av maskiner og utstyr";"33.1 Reparasjon av metallvarer, maskiner og utstyr";"33.12 Reparasjon av maskiner";"2";"0";"0"
"2015";"Viken";"N Forretningsmessig tjenesteyting";"80 Vakttjeneste og etterforsking";"80.2 Tjenester tilknyttet vakttjenester";"80.20 Tjenester tilknyttet vakttjenester";"3";"2";"2"
"2015";"Viken";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.1 Offentlig administrasjon og forvaltning";"84.12 Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern";"4";"1";"43"
"2015";"Viken";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.2 Offentlig administrasjon tilknyttet utenriks- og sikkerhetssaker";"84.24 Politi- og påtalemyndighet";"1";"1";"6"
"2015";"Viken";"P Undervisning";"85 Undervisning";"85.2 Grunnskoleundervisning";"85.20 Grunnskoleundervisning";"4";"2";"4"
"2015";"Viken";"P Undervisning";"85 Undervisning";"85.5 Annen undervisning";"85.59 Annen undervisning ikke nevnt annet sted";"1";"1";"8"
"2015";"Viken";"Q Helse- og sosialtjenester";"86 Helsetjenester";"86.2 Lege- og tannlegetjenester";"86.21 Legetjeneste";"2";"1";"2"
"2015";"Viken";"Q Helse- og sosialtjenester";"87 Pleie- og omsorgstjenester i institusjon";"87.3 Institusjoner og bofellesskap innen omsorg for eldre og funksjonshemmede";"87.30 Institusjoner og bofellesskap innen omsorg for eldre og funksjonshemmede";"6";"4";"19"
"2015";"Viken";"Q Helse- og sosialtjenester";"88 Sosiale omsorgstjenester uten botilbud";"88.9 Andre sosialtjenester uten botilbud";"88.91 Sosialtjenester uten botilbud for barn og ungdom";"46";"20";"51"
"2015";"Viken";"R Kulturell virksomhet, underholdning og fritidsaktiviteter";"91 Drift av biblioteker, arkiver, museer og annen kulturvirksomhet";"91.0 Drift av biblioteker, arkiver, museer og annen kulturvirksomhet";"91.02 Drift av museer";"1";"0";"0"
"2015";"Viken";"R Kulturell virksomhet, underholdning og fritidsaktiviteter";"93 Sports- og fritidsaktiviteter og drift av fornøyelsesetablissementer";"93.1 Sportsaktiviteter";"93.11 Drift av idrettsanlegg";"7";"7";"29"
"2015";"Viken";"R Kulturell virksomhet, underholdning og fritidsaktiviteter";"93 Sports- og fritidsaktiviteter og drift av fornøyelsesetablissementer";"93.1 Sportsaktiviteter";"93.12 Idrettslag og -klubber";"3";"3";"7"
"2015";"Viken";"S Annen tjenesteyting";"96 Annen personlig tjenesteyting";"96.0 Annen personlig tjenesteyting";"96.01 Vaskeri- og renserivirksomhet";"20";"15";"44"
"2015";"Viken";"S Annen tjenesteyting";"96 Annen personlig tjenesteyting";"96.0 Annen personlig tjenesteyting";"96.02 Frisering og annen skjønnhetspleie";"54";"30";"119"
"2016";"Innlandet";"A Jordbruk, skogbruk og fiske";"02 Skogbruk og tjenester tilknyttet skogbruk";"02.2 Avvirkning";"02.20 Avvirkning";"1";"1";"3"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.1 Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer";"10.11 Bearbeiding og konservering av kjøtt";"1";"0";"0"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.2 Bearbeiding og konservering av fisk, skalldyr og bløtdyr";"10.20 Bearbeiding og konservering av fisk, skalldyr og bløtdyr";"2";"2";"3"
"2016";"Innlandet";"C Industri";"16 Produksjon av trelast og varer av tre, kork, strå og flettematerialer, unntatt møbler";"16.2 Produksjon av varer av tre, kork, strå og flettematerialer";"16.21 Produksjon av finerplater og andre bygnings- og møbelplater av tre";"1";"0";"0"
